iter	Passed	Remaining
791	64359	16902
792	64436	16820
793	64501	16734
794	64575	16651
795	64652	16569
796	64724	16485
797	64806	16404
798	64900	16326
799	65012	16253
800	65106	16175
801	65205	16098
802	65289	16017
803	65381	15938
804	65479	15861
805	65565	15781
806	65646	15699
807	65726	15618
808	65815	15538
809	65909	15460
810	66003	15381
811	66086	15300
812	66178	15221
813	66263	15141
814	66362	15063
815	66465	14987
816	66552	14907
817	66633	14825
818	66715	14744
819	66806	14664
820	66892	14584
821	66989	14506
822	67079	14426
823	67162	14345
824	67265	14268
825	67347	14187
826	67424	14104
827	67516	14025
828	67594	13942
829	67674	13860
830	67755	13779
831	67840	13698
832	67924	13617
833	68003	13535
834	68090	13455
835	68173	13373
836	68267	13294
837	68350	13213
838	68428	13131
839	68511	13049
840	68595	12968
841	68673	12886
842	68752	12804
843	68838	12723
844	68923	12642
845	69017	12563
846	69106	12483
847	69207	12405
848	69288	12323
849	69385	12244
850	69472	12163
851	69562	12083
852	69643	12001
853	69738	11922
854	69824	11841
855	69925	11763
856	70021	11683
857	70132	11607
858	70226	11527
859	70316	11446
860	70422	11369
861	70514	11288
862	70585	11205
863	70662	11122
864	70749	11041
865	70847	10962
866	70940	10882
867	71028	10801
868	71114	10720
869	71192	10637
870	71281	10557
871	71370	10476
872	71447	10393
873	71525	10311
874	71607	10229
875	71688	10147
876	71767	10065
877	71878	9987
878	71967	9906
879	72051	9825
880	72115	9740
881	72182	9657
882	72257	9574
883	72327	9490
884	72407	9408
885	72487	9326
886	72570	9245
887	72643	9162
888	72719	9079
889	72805	8998
890	72886	8916
891	72960	8833
892	73041	8751
893	73121	8669
894	73216	8589
895	73289	8506
896	73380	8426
897	73451	8343
898	73520	8259
899	73591	8176
900	73651	8092
901	73720	8009
902	73783	7925
903	73844	7841
904	73906	7758
905	73970	7674
906	74048	7592
907	74124	7510
908	74196	7427
909	74260	7344
910	74323	7261
911	74396	7178
912	74474	7096
913	74578	7017
914	74689	6938
915	74820	6861
916	74910	6780
917	75002	6699
918	75074	6617
919	75144	6534
920	75210	6451
921	75282	6368
922	75357	6286
923	75420	6203
924	75482	6120
925	75554	6037
926	75650	5957
927	75726	5875
928	75818	5794
929	75895	5712
930	75957	5629
931	76053	5548
932	76141	5467
933	76218	5385
934	76291	5303
935	76353	5220
936	76432	5139
937	76504	5056
938	76589	4975
939	76660	4893
940	76728	4810
941	76792	4728
942	76862	4645
943	76954	4565
944	77035	4483
945	77116	4402
946	77216	4321
947	77302	4240
948	77376	4158
949	77465	4077
950	77552	3995
951	77637	3914
952	77721	3833
953	77811	3751
954	77883	3669
955	77962	3588
956	78038	3506
957	78130	3425
958	78215	3343
959	78304	3262
960	78402	3181
961	78478	3099
962	78556	3018
963	78638	2936
964	78716	2855
965	78795	2773
966	78882	2691
967	78968	2610
968	79045	2528
969	79130	2447
970	79207	2365
971	79285	2283
972	79368	2202
973	79461	2121
974	79529	2039
975	79600	1957
976	79666	1875
977	79748	1793
978	79834	1712
979	79913	1630
980	79996	1549
981	80075	1467
982	80151	1386
983	80251	1304
984	80327	1223
985	80404	1141
986	80480	1060
987	80564	978
988	80639	896
989	80710	815
990	80794	733
991	80868	652
992	80942	570
993	81017	489
994	81091	407
995	81168	325
996	81251	244
997	81324	162
998	81403	81
999	81469	0
